#step	time	mdot360	FmomInletX360	FpInletGaugeX360	FpWallX360	FshearWallX360	T_CFD360	T_ideal360	Cfg
97	0.000138963	0.117572	20.7921	72.8458	-0.140784	-0.00361475	93.4935	64.4976	1.44957
98	0.000140262	0.117504	20.767	72.8589	-0.14013	-0.00363667	93.4821	64.4601	1.45023
99	0.00014156	0.117437	20.7424	72.8716	-0.139457	-0.00365859	93.4709	64.4234	1.45088
100	0.000142858	0.117372	20.7186	72.8839	-0.138751	-0.00368049	93.4601	64.3877	1.45152
101	0.000144156	0.117309	20.6956	72.8957	-0.138005	-0.00370239	93.4497	64.3531	1.45214
102	0.000145454	0.117248	20.6735	72.9071	-0.137213	-0.00372429	93.4397	64.3197	1.45274
103	0.000146751	0.11719	20.6522	72.9181	-0.136374	-0.00374618	93.4302	64.2876	1.45332
104	0.000148047	0.117133	20.6317	72.9286	-0.135493	-0.00376809	93.4211	64.2567	1.45387
105	0.000149344	0.117079	20.6122	72.9387	-0.134572	-0.00379001	93.4125	64.227	1.45441
106	0.00015064	0.117027	20.5934	72.9483	-0.133618	-0.00381197	93.4043	64.1986	1.45493
107	0.000151936	0.116978	20.5754	72.9576	-0.132637	-0.00383396	93.3965	64.1714	1.45542
108	0.000153232	0.11693	20.5582	72.9664	-0.131635	-0.00385598	93.3891	64.1453	1.4559
109	0.000154527	0.116885	20.5417	72.9749	-0.130618	-0.00387803	93.3821	64.1203	1.45636
110	0.000155822	0.116841	20.5259	72.983	-0.129591	-0.00390011	93.3754	64.0963	1.4568
111	0.000157117	0.116799	20.5108	72.9908	-0.12856	-0.00392222	93.3691	64.0733	1.45722
112	0.000158412	0.116759	20.4963	72.9982	-0.127533	-0.00394435	93.363	64.0513	1.45763
113	0.000159706	0.116721	20.4825	73.0053	-0.126509	-0.00396648	93.3573	64.0303	1.45802
114	0.000161	0.116684	20.4693	73.012	-0.125489	-0.00398862	93.3519	64.0102	1.45839
115	0.000162294	0.116649	20.4568	73.0185	-0.124473	-0.00401075	93.3468	63.9911	1.45875
116	0.000163588	0.116616	20.4449	73.0245	-0.123459	-0.00403288	93.3419	63.9729	1.45909
117	0.000164882	0.116585	20.4336	73.0303	-0.12245	-0.00405499	93.3374	63.9556	1.45941
118	0.000166175	0.116555	20.4231	73.0356	-0.121448	-0.0040771	93.3332	63.9394	1.45971
119	0.000167469	0.116527	20.4132	73.0407	-0.120455	-0.0040992	93.3293	63.9241	1.46
120	0.000168762	0.116501	20.4039	73.0454	-0.119474	-0.00412131	93.3257	63.9098	1.46027
121	0.000170055	0.116477	20.3954	73.0497	-0.11851	-0.00414344	93.3224	63.8965	1.46052
122	0.000171348	0.116454	20.3875	73.0536	-0.117569	-0.00416558	93.3194	63.8843	1.46076
123	0.00017264	0.116434	20.3803	73.0572	-0.116657	-0.00418776	93.3167	63.873	1.46097
124	0.000173933	0.116415	20.3738	73.0605	-0.115776	-0.00420997	93.3143	63.8628	1.46117
125	0.000175225	0.116399	20.368	73.0633	-0.114927	-0.00423221	93.3122	63.8536	1.46134
126	0.000176518	0.116384	20.3629	73.0658	-0.114111	-0.00425448	93.3104	63.8455	1.4615
127	0.00017781	0.116371	20.3585	73.068	-0.113328	-0.00427676	93.3089	63.8383	1.46164
128	0.000179102	0.11636	20.3547	73.0698	-0.112577	-0.00429905	93.3076	63.8322	1.46176
129	0.000180394	0.11635	20.3516	73.0713	-0.111857	-0.00432135	93.3067	63.827	1.46187
130	0.000181685	0.116343	20.3491	73.0724	-0.111167	-0.00434364	93.306	63.8229	1.46195
131	0.000182977	0.116337	20.3473	73.0732	-0.110508	-0.00436592	93.3056	63.8196	1.46202
132	0.000184269	0.116332	20.346	73.0737	-0.109878	-0.0043882	93.3055	63.8173	1.46207
133	0.00018556	0.11633	20.3454	73.0739	-0.109274	-0.00441047	93.3056	63.8159	1.46211
134	0.000186851	0.116329	20.3453	73.0738	-0.108696	-0.00443274	93.306	63.8154	1.46212
135	0.000188143	0.116329	20.3458	73.0734	-0.108142	-0.00445502	93.3066	63.8156	1.46213
136	0.000189434	0.116331	20.3468	73.0728	-0.107611	-0.00447732	93.3075	63.8167	1.46212
137	0.000190725	0.116335	20.3483	73.0718	-0.107101	-0.00449963	93.3086	63.8186	1.46209
138	0.000192016	0.11634	20.3504	73.0707	-0.10661	-0.00452197	93.3099	63.8213	1.46205
139	0.000193306	0.116346	20.3529	73.0692	-0.106138	-0.00454434	93.3114	63.8246	1.462
140	0.000194597	0.116353	20.3558	73.0676	-0.105682	-0.00456672	93.3131	63.8287	1.46193
141	0.000195888	0.116362	20.3592	73.0657	-0.105241	-0.00458913	93.3151	63.8334	1.46185
142	0.000197178	0.116372	20.3631	73.0635	-0.104814	-0.00461154	93.3172	63.8388	1.46176
143	0.000198469	0.116383	20.3673	73.0612	-0.104399	-0.00463396	93.3195	63.8448	1.46166
144	0.000199759	0.116395	20.372	73.0587	-0.103995	-0.00465638	93.322	63.8514	1.46155
145	0.00020105	0.116408	20.377	73.056	-0.1036	-0.00467879	93.3247	63.8586	1.46143
146	0.00020234	0.116422	20.3824	73.053	-0.103212	-0.00470119	93.3275	63.8664	1.46129
147	0.00020363	0.116437	20.3881	73.0499	-0.102829	-0.00472358	93.3305	63.8747	1.46115
148	0.00020492	0.116453	20.3942	73.0467	-0.10245	-0.00474596	93.3337	63.8835	1.461
149	0.00020621	0.11647	20.4006	73.0432	-0.102072	-0.00476835	93.337	63.8928	1.46084
150	0.0002075	0.116488	20.4073	73.0396	-0.101694	-0.00479074	93.3405	63.9026	1.46067
151	0.00020879	0.116506	20.4143	73.0359	-0.101316	-0.00481315	93.3441	63.9128	1.46049
152	0.00021008	0.116526	20.4216	73.032	-0.100935	-0.00483558	93.3479	63.9234	1.46031
153	0.00021137	0.116546	20.4292	73.0279	-0.100552	-0.00485803	93.3518	63.9345	1.46012
154	0.000212659	0.116567	20.437	73.0238	-0.100165	-0.0048805	93.3558	63.946	1.45992
155	0.000213949	0.116588	20.4451	73.0195	-0.0997741	-0.00490299	93.3599	63.9578	1.45971
156	0.000215239	0.116611	20.4534	73.0151	-0.0993786	-0.00492549	93.3642	63.9699	1.4595
157	0.000216528	0.116633	20.4619	73.0106	-0.0989784	-0.004948	93.3685	63.9824	1.45928
158	0.000217818	0.116657	20.4706	73.006	-0.0985736	-0.0049705	93.373	63.9952	1.45906
159	0.000219107	0.11668	20.4795	73.0013	-0.0981644	-0.004993	93.3776	64.0083	1.45884
160	0.000220396	0.116705	20.4885	72.9965	-0.0977513	-0.00501548	93.3822	64.0216	1.45861
161	0.000221686	0.116729	20.4977	72.9916	-0.0973348	-0.00503795	93.387	64.0352	1.45837
162	0.000222975	0.116755	20.5071	72.9867	-0.0969154	-0.0050604	93.3918	64.0489	1.45813
163	0.000224264	0.11678	20.5166	72.9817	-0.096494	-0.00508285	93.3967	64.0629	1.45789
164	0.000225553	0.116806	20.5262	72.9766	-0.0960714	-0.0051053	93.4016	64.0771	1.45764
165	0.000226842	0.116832	20.5359	72.9715	-0.0956483	-0.00512775	93.4066	64.0914	1.4574
166	0.000228131	0.116858	20.5457	72.9663	-0.0952256	-0.00515022	93.4116	64.1059	1.45715
167	0.00022942	0.116885	20.5555	72.9611	-0.0948041	-0.00517271	93.4167	64.1205	1.45689
168	0.000230709	0.116912	20.5655	72.9559	-0.0943841	-0.00519522	93.4218	64.1352	1.45664
169	0.000231998	0.116939	20.5755	72.9506	-0.093966	-0.00521775	93.4269	64.15	1.45638
170	0.000233287	0.116966	20.5855	72.9454	-0.0935503	-0.00524029	93.4321	64.1648	1.45613
171	0.000234576	0.116993	20.5956	72.9401	-0.0931373	-0.00526283	93.4373	64.1797	1.45587
172	0.000235865	0.11702	20.6057	72.9348	-0.0927276	-0.00528538	93.4425	64.1947	1.45561
173	0.000237154	0.117048	20.6158	72.9295	-0.0923215	-0.00530792	93.4476	64.2097	1.45535
174	0.000238442	0.117075	20.6259	72.9241	-0.0919198	-0.00533044	93.4528	64.2246	1.45509
175	0.000239731	0.117102	20.6361	72.9188	-0.0915233	-0.00535295	93.458	64.2396	1.45483
176	0.00024102	0.117129	20.6462	72.9135	-0.0911324	-0.00537544	93.4632	64.2546	1.45458
177	0.000242308	0.117157	20.6562	72.9083	-0.0907473	-0.00539791	93.4683	64.2695	1.45432
178	0.000243597	0.117184	20.6663	72.903	-0.0903683	-0.00542038	93.4735	64.2844	1.45406
179	0.000244885	0.117211	20.6763	72.8978	-0.0899958	-0.00544286	93.4786	64.2992	1.45381
180	0.000246174	0.117238	20.6862	72.8926	-0.0896299	-0.00546534	93.4837	64.3139	1.45355
181	0.000247462	0.117264	20.6961	72.8874	-0.0892707	-0.00548783	93.4887	64.3286	1.4533
182	0.000248751	0.117291	20.7059	72.8823	-0.0889181	-0.00551034	93.4937	64.3431	1.45305
183	0.000250039	0.117317	20.7156	72.8772	-0.088572	-0.00553287	93.4987	64.3576	1.4528
184	0.000251328	0.117343	20.7253	72.8721	-0.0882321	-0.00555541	93.5036	64.3719	1.45255
185	0.000252616	0.117369	20.7348	72.8671	-0.0878982	-0.00557796	93.5085	64.3861	1.45231
186	0.000253904	0.117395	20.7443	72.8622	-0.0875702	-0.00560052	93.5133	64.4001	1.45207
187	0.000255192	0.11742	20.7537	72.8573	-0.0872476	-0.00562306	93.5181	64.414	1.45183
188	0.000256481	0.117445	20.7629	72.8525	-0.0869303	-0.0056456	93.5228	64.4277	1.45159
189	0.000257769	0.11747	20.772	72.8478	-0.0866178	-0.00566812	93.5275	64.4412	1.45136
190	0.000259057	0.117494	20.781	72.8431	-0.0863101	-0.00569062	93.5321	64.4546	1.45113
191	0.000260345	0.117518	20.7898	72.8385	-0.0860067	-0.00571311	93.5366	64.4677	1.45091
192	0.000261633	0.117542	20.7985	72.8339	-0.0857075	-0.00573558	93.541	64.4807	1.45068
193	0.000262922	0.117565	20.8071	72.8295	-0.0854121	-0.00575805	93.5454	64.4934	1.45046
194	0.00026421	0.117588	20.8155	72.8251	-0.0851206	-0.00578052	93.5497	64.5059	1.45025
195	0.000265498	0.11761	20.8238	72.8208	-0.0848327	-0.005803	93.5539	64.5182	1.45004
196	0.000266786	0.117632	20.8319	72.8166	-0.0845484	-0.00582549	93.5581	64.5302	1.44983
197	0.000268074	0.117653	20.8398	72.8125	-0.0842676	-0.00584799	93.5622	64.542	1.44963
198	0.000269362	0.117675	20.8476	72.8084	-0.0839905	-0.00587051	93.5661	64.5536	1.44943
199	0.00027065	0.117695	20.8551	72.8045	-0.083717	-0.00589305	93.57	64.5649	1.44924
200	0.000271938	0.117715	20.8625	72.8007	-0.0834471	-0.00591558	93.5738	64.5759	1.44905
201	0.000273226	0.117735	20.8698	72.7969	-0.0831808	-0.00593812	93.5776	64.5866	1.44887
202	0.000274513	0.117754	20.8768	72.7933	-0.0829182	-0.00596064	93.5812	64.5971	1.44869
203	0.000275801	0.117773	20.8836	72.7897	-0.0826595	-0.00598315	93.5847	64.6073	1.44852
204	0.000277089	0.117791	20.8903	72.7863	-0.0824047	-0.00600564	93.5882	64.6172	1.44835
205	0.000278377	0.117808	20.8967	72.783	-0.0821541	-0.00602812	93.5915	64.6269	1.44818
206	0.000279665	0.117825	20.903	72.7797	-0.0819073	-0.00605057	93.5947	64.6362	1.44802
207	0.000280953	0.117842	20.909	72.7766	-0.0816641	-0.00607302	93.5979	64.6452	1.44787
208	0.000282241	0.117858	20.9149	72.7736	-0.081424	-0.00609546	93.6009	64.654	1.44772
209	0.000283528	0.117873	20.9205	72.7707	-0.0811867	-0.0061179	93.6039	64.6624	1.44758
210	0.000284816	0.117888	20.9259	72.7679	-0.0809519	-0.00614035	93.6067	64.6705	1.44744
211	0.000286104	0.117902	20.9311	72.7652	-0.0807193	-0.00616282	93.6094	64.6783	1.44731
212	0.000287392	0.117916	20.9361	72.7626	-0.0804886	-0.0061853	93.6121	64.6858	1.44718
213	0.000288679	0.117929	20.9409	72.7602	-0.0802597	-0.00620779	93.6146	64.693	1.44706
214	0.000289967	0.117941	20.9455	72.7578	-0.0800323	-0.00623029	93.617	64.6999	1.44694
215	0.000291255	0.117953	20.9499	72.7556	-0.0798061	-0.0062528	93.6194	64.7065	1.44683
216	0.000292542	0.117965	20.954	72.7535	-0.0795809	-0.00627529	93.6216	64.7127	1.44673
217	0.00029383	0.117975	20.9579	72.7514	-0.0793563	-0.00629778	93.6237	64.7186	1.44663
218	0.000295118	0.117986	20.9616	72.7495	-0.0791321	-0.00632025	93.6257	64.7243	1.44653
219	0.000296405	0.117995	20.9651	72.7478	-0.078908	-0.0063427	93.6277	64.7296	1.44644
220	0.000297693	0.118004	20.9684	72.7461	-0.0786838	-0.00636513	93.6295	64.7346	1.44636
221	0.000298981	0.118013	20.9715	72.7445	-0.0784592	-0.00638755	93.6312	64.7392	1.44628
222	0.000300268	0.118021	20.9744	72.7431	-0.0782341	-0.00640996	93.6328	64.7436	1.44621
223	0.000301556	0.118028	20.9771	72.7417	-0.0780086	-0.00643237	93.6343	64.7477	1.44614
224	0.000302844	0.118035	20.9795	72.7405	-0.0777829	-0.00645478	93.6357	64.7514	1.44608
225	0.000304131	0.118041	20.9818	72.7393	-0.0775566	-0.00647721	93.6371	64.7549	1.44602
226	0.000305419	0.118047	20.9838	72.7383	-0.0773295	-0.00649965	93.6383	64.758	1.44597
227	0.000306706	0.118052	20.9857	72.7374	-0.0771015	-0.0065221	93.6394	64.7609	1.44593
228	0.000307994	0.118057	20.9874	72.7365	-0.0768724	-0.00654456	93.6405	64.7635	1.44588
229	0.000309282	0.118061	20.9888	72.7358	-0.0766422	-0.00656704	93.6414	64.7658	1.44585
230	0.000310569	0.118065	20.9901	72.7352	-0.0764108	-0.00658951	93.6423	64.7679	1.44581
231	0.000311857	0.118068	20.9912	72.7346	-0.0761784	-0.00661197	93.6431	64.7696	1.44579
232	0.000313144	0.118071	20.9922	72.7342	-0.075945	-0.00663442	93.6438	64.7712	1.44576
233	0.000314432	0.118073	20.993	72.7338	-0.0757108	-0.00665685	93.6444	64.7724	1.44575
